Date_ms;response_time_ms;rtd_no
68630;29;3
68833;32;3
69031;30;3
69093;492;5
69127;326;5
69161;960;5
69168;767;5
69231;29;3
69240;239;5
69429;28;3
69436;234;5
69632;30;3
69664;263;5
69813;211;5
69830;29;3
70032;29;3
70064;263;5
70230;29;3
70235;232;5
70429;26;3
70442;241;5
70632;31;3
70647;244;5
70807;206;5
70828;27;3
71022;221;5
71029;28;3
71081;3;2
71113;3;2
71229;3;2
71233;32;3
71268;267;5
71413;212;5
71430;28;3
71446;2;2
71589;187;5
71608;3;2
71676;74;3
71828;2;2
71833;31;3
71860;258;5
72016;3;2
72030;228;5
72036;35;3
72211;3;2
72228;27;3
72297;296;5
72401;4;2
72430;29;3
72597;3;2
72629;27;3
72795;3;2
72827;26;3
73000;4;2
73028;26;3
73109;507;5
73186;785;5
73186;985;5
73192;391;5
73204;3;2
73240;37;3
73276;274;5
73406;3;2
73427;26;3
73439;236;5
73606;3;2
73621;220;5
73633;32;3
73805;4;2
73831;29;3
73835;234;5
74002;3;2
74030;28;3
74035;233;5
74222;2;2
74231;30;3
74264;262;5
74419;2;2
74431;30;3
74449;248;5
74612;3;2
74628;27;3
74662;261;5
74831;30;3
74863;262;5
75030;29;3
75065;264;5
75197;3;2
75229;26;3
75230;229;5
75231;2;2
75266;3;2
75434;32;3
75436;2;2
75471;268;5
75596;3;2
75629;27;3
75631;229;5
75793;3;2
75829;27;3
75870;268;5
75995;3;2
76024;222;5
76031;28;3
76234;3;2
76234;31;3
76266;263;5
76464;40;2
76478;75;3
76617;3;2
76634;33;3
76812;2;2
76832;30;3
77016;16;2
77039;38;3
77161;3;2
77197;994;5
77230;29;3
77266;464;5
77276;873;5
77331;330;5
77349;748;5
77433;30;3
77456;3;2
77475;274;5
77599;4;2
77632;229;5
77635;33;3
77824;3;2
77832;31;3
77857;255;5
78023;2;2
78030;28;3
78086;285;5
78224;3;2
78237;36;3
78267;265;5
78406;2;2
78430;29;3
78440;239;5
78607;4;2
78635;234;5
78636;34;3
78833;32;3
78914;312;5
79034;31;3
79070;269;5
79190;3;2
79198;195;5
79231;29;3
79233;2;2
79289;4;2
79389;187;5
79456;16;2
79472;71;3
79631;30;3
79632;3;2
79736;335;5
79835;33;3
79846;3;2
79890;289;5
80031;3;2
80036;34;3
80061;259;5
80233;30;3
80256;3;2
80284;282;5
80406;4;2
80430;29;3
80584;3;2
80634;32;3
80789;3;2
80829;27;3
80997;7;2
81041;39;3
81192;4;2
81207;1004;5
82513;1303;1
82520;915;2
82520;1080;2
82524;132;2
82529;504;2
82530;256;2
82533;700;2
82555;1353;3
82556;1954;5
82556;1754;5
82560;2159;5
82604;1602;5
82655;42;2
82656;454;3
82660;1258;3
82664;262;3
82666;663;3
82667;865;3
82669;1068;3
82675;72;3
82833;32;3
82942;1740;5
83033;831;5
83035;1633;5
83036;634;5
83040;1037;5
83040;38;3
83080;1479;5
83080;1278;5
83082;479;5
83126;325;5
83230;29;3
83341;339;5
83387;21;2
83413;36;2
83413;34;2
83431;5;2
83440;239;5
83459;58;3
83630;29;3
83640;3;2
83691;290;5
83807;3;2
83837;36;3
83881;280;5
84003;4;2
84032;29;3
84081;280;5
84233;30;3
84239;4;2
84252;249;5
84426;3;2
84432;30;3
84622;2;2
84635;33;3
84820;2;2
84832;29;3
84965;363;5
84966;763;5
85012;610;5
85030;29;3
85042;239;5
85077;5;2
85199;4;2
85228;27;3
85230;229;5
85422;3;2
85428;227;5
85431;29;3
85632;30;3
85666;264;5
85673;3;2
85798;4;2
85831;29;3
85897;295;5
86028;2;2
86031;29;3
86031;229;5
86216;214;5
86228;2;2
86230;27;3
86434;32;3
86439;236;5
86441;2;2
86624;3;2
86632;31;3
86664;262;5
86831;30;3
86845;244;5
87029;28;3
87065;264;5
87192;191;5
87232;31;3
87276;3;2
87383;3;2
87417;216;5
87427;26;3
87456;3;2
87461;3;2
87632;29;3
87646;3;2
87687;286;5
87813;210;5
87828;25;3
87870;2;2
87994;4;2
88061;258;5
88073;71;3
88232;31;3
88252;3;2
88335;333;5
88433;31;3
88437;3;2
88631;30;3
88633;2;2
88829;3;2
88831;29;3
88979;577;5
88983;782;5
89020;3;2
89021;420;5
89031;30;3
89045;243;5
89226;2;2
89230;29;3
89265;264;5
89420;4;2
89431;29;3
89433;232;5
89630;29;3
89632;230;5
89674;3;2
89833;31;3
89844;243;5
89848;3;2
90028;2;2
90031;30;3
90059;257;5
90230;28;3
90274;273;5
90275;3;2
90430;28;3
90442;240;5
90457;2;2
90630;228;5
90630;28;3
90663;3;2
90829;28;3
90864;262;5
91036;33;3
91076;275;5
91230;28;3
91265;262;5
91315;4;2
91330;3;2
91405;4;2
91419;217;5
91432;30;3
91435;3;2
91635;33;3
91654;252;5
91818;216;5
91829;26;3
91997;194;5
92031;29;3
92230;29;3
92236;234;5
92431;30;3
92534;4;2
92634;31;3
92756;3;2
92756;3;2
92758;3;2
92815;3;2
92831;29;3
92851;3;2
92908;3;2
93033;32;3
93040;2;2
93069;267;5
93109;908;5
93179;778;5
93212;609;5
93229;27;3
93287;17;2
93292;291;5
93431;30;3
93466;264;5
93475;3;2
93605;2;2
93617;216;5
93629;27;3
93783;181;5
93830;28;3
93841;2;2
93999;3;2
94034;31;3
94035;233;5
94219;3;2
94235;32;3
94253;250;5
94416;2;2
94420;217;5
94431;29;3
94615;3;2
94617;215;5
94632;30;3
94831;29;3
94863;261;5
95029;28;3
95067;265;5
95204;203;5
95237;36;3
95430;29;3
95466;265;5
95633;31;3
95670;269;5
95799;4;2
95829;28;3
95846;3;2
95884;282;5
95900;3;2
95955;3;2
95988;3;2
95990;3;2
96033;232;5
96034;15;2
96041;40;3
96232;29;3
96240;239;5
96243;3;2
96403;4;2
96428;25;3
96626;3;2
96631;28;3
96826;2;2
96830;28;3
97032;31;3
97032;2;2
97168;565;5
97225;3;2
97232;30;3
97271;1068;5
97272;869;5
97316;514;5
97338;337;5
97432;29;3
97437;2;2
97485;283;5
97631;30;3
97663;260;5
97686;3;2
97804;4;2
97830;28;3
97880;279;5
97998;3;2
98029;227;5
98030;27;3
98207;3;2
98231;28;3
98235;232;5
98372;5;2
98431;30;3
98466;263;5
98617;3;2
98626;225;5
98634;32;3
98806;204;5
98831;29;3
99027;225;5
99029;28;3
99206;205;5
99229;27;3
99420;218;5
99429;28;3
99631;29;3
99674;273;5
99831;30;3
99866;264;5
99914;3;2
99935;2;2
99986;2;2
100017;216;5
100020;3;2
100029;27;3
100034;2;2
100073;2;2
100075;2;2
100224;222;5
100231;30;3
100240;2;2
100404;4;2
100431;30;3
100598;3;2
100629;26;3
100790;3;2
100826;25;3
101024;14;2
101049;46;3
101190;389;5
101216;3;2
101233;32;3
101242;639;5
101278;1077;5
101315;914;5
101404;401;5
101412;2;2
101431;30;3
101500;299;5
101609;3;2
101630;29;3
101641;240;5
101829;27;3
101863;262;5
101873;2;2
102009;3;2
102029;26;3
102039;237;5
102230;28;3
102248;2;2
102279;276;5
102428;27;3
102436;4;2
102470;268;5
102627;26;3
102630;2;2
102670;269;5
102832;231;5
102833;31;3
103033;32;3
103076;274;5
103223;222;5
103230;28;3
103430;29;3
103479;277;5
103628;227;5
103630;29;3
103829;26;3
103877;276;5
103955;2;2
103991;3;2
103993;3;2
104024;3;2
104028;27;3
104031;228;5
104054;3;2
104140;4;2
104141;2;2
104223;2;2
104233;30;3
104292;291;5
104429;28;3
104472;3;2
104629;28;3
104648;2;2
104832;30;3
104847;3;2
105041;3;2
105058;55;3
105239;37;3
105240;4;2
105273;471;5
105293;1090;5
105321;720;5
105412;1011;5
105415;412;5
105429;26;3
105498;296;5
105518;3;2
105602;3;2
105629;27;3
105632;229;5
105821;3;2
105831;28;3
105866;264;5
105989;3;2
106023;220;5
106036;34;3
106213;3;2
106231;29;3
106247;245;5
106417;3;2
106431;30;3
106452;250;5
106631;30;3
106636;2;2
106643;242;5
106830;29;3
106831;230;5
106863;3;2
107008;207;5
107082;39;2
107082;79;3
107231;29;3
107246;2;2
107316;313;5
107393;191;5
107429;28;3
107450;2;2
107606;3;2
107628;27;3
107726;325;5
107810;3;2
107828;26;3
107893;292;5
108005;4;2
108029;26;3
108037;235;5
108227;4;2
108236;35;3
108262;259;5
108424;4;2
108430;29;3
108638;37;3
108653;3;2
108831;28;3
108851;3;2
109029;26;3
109036;2;2
109228;27;3
109283;3;2
109388;385;5
109430;29;3
109437;2;2
109464;1063;5
109466;1265;5
109519;918;5
109552;749;5
109554;353;5
109631;30;3
109636;2;2
109664;263;5
109833;232;5
109833;31;3
109842;3;2
110008;206;5
110064;63;3
110066;34;2
110230;28;3
110233;3;2
110265;264;5
110428;3;2
110430;29;3
110463;261;5
110630;27;3
110639;238;5
110666;3;2
110829;226;5
110831;30;3
111029;27;3
111051;3;2
111061;260;5
111072;4;2
111233;30;3
111242;2;2
111278;276;5
111431;29;3
111432;2;2
111465;262;5
111587;185;5
111629;28;3
111642;2;2
111808;207;5
111828;27;3
111844;3;2
112015;214;5
112017;2;2
112029;27;3
112234;31;3
112248;2;2
112279;277;5
112408;3;2
112431;30;3
112613;3;2
112629;26;3
112825;2;2
112833;31;3
113030;27;3
113074;4;2
113204;7;2
113244;42;3
113413;810;5
113421;418;5
113432;30;3
113441;3;2
113505;703;5
113540;1139;5
113551;1348;5
113575;373;5
113629;26;3
113643;3;2
113663;261;5
113830;29;3
113853;3;2
113867;264;5
114034;32;3
114087;45;2
114092;291;5
114228;27;3
114229;227;5
114233;3;2
114429;27;3
114441;3;2
114467;266;5
114630;29;3
114666;264;5
114687;3;2
114827;226;5
114829;27;3
115032;31;3
115034;3;2
115062;260;5
115081;2;2
115230;29;3
115232;231;5
115235;3;2
115434;33;3
115439;238;5
115445;2;2
115624;223;5
115629;28;3
115652;2;2
115830;229;5
115831;30;3
115841;4;2
116030;29;3
116051;3;2
116062;261;5
116229;28;3
116237;3;2
116270;269;5
116430;27;3
116446;3;2
116631;28;3
116633;2;2
116831;30;3
116848;2;2
117032;30;3
117073;3;2
117230;29;3
117296;30;2
117433;31;3
117440;2;2
117534;333;5
117546;745;5
117570;1369;5
117588;985;5
117629;26;3
117639;1236;5
117651;3;2
117663;661;5
117684;282;5
117829;28;3
117849;3;2
117890;287;5
118032;2;2
118034;31;3
118071;270;5
118231;228;5
118233;31;3
118270;3;2
118429;28;3
118447;3;2
118464;262;5
118630;29;3
118642;241;5
118645;3;2
118831;230;5
118833;32;3
119029;28;3
119064;263;5
119119;3;2
119153;3;2
119206;2;2
119228;26;3
119239;238;5
119456;20;2
119467;265;5
119480;77;3
119610;207;5
119630;27;3
119645;3;2
119803;200;5
119827;26;3
119828;2;2
119989;188;5
120030;29;3
120086;4;2
120220;219;5
120232;29;3
120250;2;2
120429;28;3
120445;2;2
120631;30;3
120715;3;2
120831;30;3
120841;2;2
121029;27;3
121044;2;2
121230;27;3
121242;2;2
121430;28;3
121470;3;2
121610;1407;5
121631;28;3
121646;2;2
121656;453;5
121675;673;5
121727;1126;5
121768;1367;5
121814;1013;5
121829;28;3
121849;447;5
121875;3;2
121935;332;5
122027;226;5
122030;3;2
122051;48;3
122231;30;3
122264;261;5
122282;3;2
122431;28;3
122442;3;2
122475;274;5
122633;30;3
122647;3;2
122680;277;5
122831;28;3
122865;262;5
123032;229;5
123034;32;3
123149;4;2
123157;3;2
123213;3;2
123230;28;3
123243;241;5
123446;2;2
123452;49;3
123501;299;5
123611;3;2
123633;32;3
123646;243;5
123806;205;5
123826;2;2
123830;29;3
124025;224;5
124025;3;2
124028;26;3
124233;32;3
124253;251;5
124278;3;2
124430;29;3
124450;3;2
124632;31;3
124721;3;2
124830;27;3
124851;3;2
125031;28;3
125055;3;2
125230;29;3
125245;4;2
125431;28;3
125448;3;2
125621;1220;5
125630;27;3
125640;3;2
125676;873;5
125678;675;5
125682;481;5
125755;1154;5
125787;1586;5
125795;392;5
125829;28;3
125839;236;5
125873;2;2
126029;27;3
126032;3;2
126092;291;5
126228;25;3
126237;235;5
126287;4;2
126401;198;5
126428;27;3
126438;3;2
126641;38;3
126654;253;5
126717;3;2
126834;32;3
126840;237;5
127037;36;3
127053;251;5
127235;33;3
127269;268;5
127269;2;2
127304;4;2
127339;3;2
127374;172;5
127429;2;2
127430;28;3
127634;31;3
127656;3;2
127670;268;5
127816;3;2
127822;219;5
127829;27;3
128022;3;2
128032;230;5
128034;31;3
128228;225;5
128232;29;3
128293;4;2
128400;4;2
128430;29;3
128631;29;3
128655;3;2
128690;289;5
128725;522;5
128807;3;2
128831;28;3
128890;288;5
129030;29;3
129032;2;2
129063;260;5
129234;33;3
129237;3;2
129267;266;5
129431;30;3
129464;263;5
129476;3;2
129626;2;2
129632;30;3
129638;237;5
129831;29;3
129832;230;5
129874;4;2
130014;212;5
130023;3;2
130030;28;3
130230;29;3
130249;2;2
130262;260;5
130430;27;3
130430;2;2
130436;235;5
130630;27;3
130641;238;5
130671;3;2
130793;190;5
130829;28;3
131029;28;3
131032;231;5
131211;210;5
131231;29;3
131250;2;2
131273;3;2
131313;2;2
131433;31;3
131467;265;5
131476;3;2
131631;29;3
131663;261;5
131670;3;2
131829;27;3
131861;259;5
131875;2;2
131973;171;5
132031;29;3
132036;2;2
132231;30;3
132276;274;5
132312;3;2
132431;29;3
132474;4;2
132630;27;3
132661;4;2
132752;350;5
132785;584;5
132822;2;2
132830;28;3
132855;252;5
133033;30;3
133044;242;5
133079;3;2
133212;209;5
133215;3;2
133243;40;3
133433;32;3
133433;3;2
133461;258;5
133632;29;3
133632;231;5
133639;2;2
133819;2;2
133832;31;3
133851;248;5
134030;29;3
134084;3;2
134113;312;5
134224;223;5
134228;26;3
134317;3;2
134424;3;2
134430;228;5
134432;31;3
134629;27;3
134669;268;5
134695;3;2
134828;26;3
134905;303;5
134987;185;5
135028;26;3
135229;28;3
135267;265;5
135351;4;2
135413;29;2
135436;35;3
135442;3;2
135442;241;5
135477;2;2
135630;28;3
135668;2;2
135700;299;5
135830;27;3
135863;261;5
135901;3;2
136019;216;5
136029;26;3
136053;3;2
136230;28;3
136250;247;5
136273;3;2
136422;3;2
136432;31;3
136629;26;3
136675;3;2
136768;566;5
136804;4;2
136829;28;3
136865;262;5
136900;499;5
137029;26;3
137033;4;2
137088;287;5
137216;213;5
137229;26;3
137279;3;2
137408;11;2
137431;28;3
137444;241;5
137614;2;2
137629;28;3
137665;262;5
137835;33;3
137851;250;5
137917;3;2
138016;214;5
138031;30;3
138073;2;2
138233;31;3
138277;3;2
138310;309;5
